,runs,C0,C1,C2,C3,Cfast,zig,Java,Julia,Win Julia,Win PyPy,PyPy,Python,Win Python,Win Python 11
0,200.0,0.024399280548095703,0.02420973777770996,0.02280879020690918,0.024039268493652344,0.024080991744995117,0.028287172317504883,0.08165383338928223,0.26878833770751953,0.23031163215637207,0.10153579711914062,0.1028587818145752,0.04587721824645996,0.11405324935913086,0.09293031692504883
1,400.0,0.018729209899902344,0.0186920166015625,0.017700672149658203,0.018924951553344727,0.01858043670654297,0.01618170738220215,0.09648752212524414,0.251755952835083,0.22507119178771973,0.10003805160522461,0.10428810119628906,0.04990339279174805,0.11961984634399414,0.0921640396118164
2,600.0,0.01889324188232422,0.01772022247314453,0.01978445053100586,0.02300262451171875,0.01900005340576172,0.018259525299072266,0.0848243236541748,0.24928569793701172,0.2234811782836914,0.10050153732299805,0.10462665557861328,0.05502629280090332,0.12990379333496094,0.0984489917755127
3,800.0,0.018940448760986328,0.019150733947753906,0.020701169967651367,0.020076274871826172,0.01931452751159668,0.01793503761291504,0.08743786811828613,0.2523658275604248,0.22275137901306152,0.1020808219909668,0.1053316593170166,0.06356620788574219,0.13600587844848633,0.10903358459472656
4,1000.0,0.020754337310791016,0.02025771141052246,0.019583463668823242,0.02108478546142578,0.020473957061767578,0.01961541175842285,0.11672854423522949,0.25502848625183105,0.23378968238830566,0.1046445369720459,0.1059713363647461,0.07005739212036133,0.15657305717468262,0.12424802780151367
5,1200.0,0.022113800048828125,0.02287149429321289,0.021557331085205078,0.02313852310180664,0.021780014038085938,0.020900249481201172,0.11870265007019043,0.25940799713134766,0.22692656517028809,0.10536336898803711,0.1087644100189209,0.08351755142211914,0.1699507236480713,0.13668012619018555
6,1400.0,0.021605968475341797,0.022490739822387695,0.022757530212402344,0.024124622344970703,0.02331399917602539,0.02121114730834961,0.10961651802062988,0.26677417755126953,0.22777247428894043,0.1048886775970459,0.10710716247558594,0.0938413143157959,0.20777583122253418,0.15192747116088867
7,1600.0,0.024296998977661133,0.023864269256591797,0.024118423461914062,0.023226022720336914,0.02373194694519043,0.02132105827331543,0.09824562072753906,0.25890159606933594,0.24491119384765625,0.1039724349975586,0.10812902450561523,0.10862350463867188,0.2281033992767334,0.17356538772583008
8,1800.0,0.023058652877807617,0.025630474090576172,0.025389909744262695,0.02452254295349121,0.0246732234954834,0.025257587432861328,0.09818601608276367,0.26107025146484375,0.23207426071166992,0.10607552528381348,0.10867762565612793,0.12584590911865234,0.2457268238067627,0.19329190254211426
9,2000.0,0.02701854705810547,0.025838136672973633,0.028125762939453125,0.0266420841217041,0.027037620544433594,0.02475261688232422,0.09956598281860352,0.2636892795562744,0.23416829109191895,0.11334085464477539,0.10990452766418457,0.14455342292785645,0.2776799201965332,0.22336578369140625
10,2000.0,0.025453567504882812,0.02564072608947754,0.027959346771240234,0.0258786678314209,0.028008460998535156,0.024823665618896484,0.09619712829589844,0.2571113109588623,0.23170804977416992,,,,,
11,4000.0,0.04725074768066406,0.046744346618652344,0.04773259162902832,0.04657435417175293,0.04737591743469238,0.046775102615356445,0.12109208106994629,0.28122496604919434,0.24826693534851074,,,,,
12,6000.0,0.08192610740661621,0.08133816719055176,0.08113622665405273,0.08048868179321289,0.08216142654418945,0.0815286636352539,0.16518783569335938,0.323042631149292,0.28838205337524414,,,,,
13,8000.0,0.12989473342895508,0.13080596923828125,0.12886357307434082,0.1286482810974121,0.12926530838012695,0.1277306079864502,0.22424864768981934,0.3649482727050781,0.33448076248168945,,,,,
14,10000.0,0.19174695014953613,0.19075584411621094,0.19240975379943848,0.19042730331420898,0.19141578674316406,0.18889760971069336,0.2971465587615967,0.4236626625061035,0.3951106071472168,,,,,
15,12000.0,0.2658407688140869,0.26483964920043945,0.26458263397216797,0.2670307159423828,0.2638821601867676,0.26192784309387207,0.3870246410369873,0.5040132999420166,0.473635196685791,,,,,
16,14000.0,0.3549489974975586,0.35312747955322266,0.3524508476257324,0.3538961410522461,0.35505127906799316,0.35471415519714355,0.5026001930236816,0.5892295837402344,0.5578608512878418,,,,,
17,16000.0,0.4566328525543213,0.4554281234741211,0.45629167556762695,0.4593806266784668,0.45774054527282715,0.4540729522705078,0.6829555034637451,0.6917369365692139,0.6648552417755127,,,,,
18,18000.0,0.5747971534729004,0.570974588394165,0.5734131336212158,0.5702364444732666,0.571089506149292,0.5704166889190674,0.9329538345336914,0.812371015548706,0.7793984413146973,,,,,
19,20000.0,0.7026755809783936,0.6998090744018555,0.6997361183166504,0.6990575790405273,0.7017109394073486,0.698948860168457,1.3532295227050781,0.9407234191894531,0.9038858413696289,,,,,
