,runs,C0,C1,C2,C3,Cfast,zig,Julia,PyPy,Python,Python-f,Py
0,10.0,0.019545316696166992,0.019664287567138672,0.020183324813842773,0.020949363708496094,0.01939535140991211,0.025048017501831055,0.2852327823638916,0.09990739822387695,0.03871774673461914,0.046927690505981445,0.11124324798583984
1,10.0,0.014650344848632812,0.013072013854980469,0.013166427612304688,0.012669801712036133,0.0139007568359375,0.013103961944580078,0.27105069160461426,0.08951163291931152,0.03876829147338867,0.04066610336303711,0.10796570777893066
2,10.0,0.014341115951538086,0.013139724731445312,0.013703107833862305,0.013999700546264648,0.014329910278320312,0.012249946594238281,0.27030277252197266,0.08854556083679199,0.04235124588012695,0.0416562557220459,0.11131572723388672
3,1000.0,0.015392065048217773,0.01554417610168457,0.014765024185180664,0.014113903045654297,0.01359701156616211,0.012005329132080078,0.2709627151489258,0.09773015975952148,0.11575126647949219,0.1131587028503418,0.19736289978027344
4,12000.0,0.017551422119140625,0.015356063842773438,0.014258623123168945,0.014563560485839844,0.015185356140136719,0.013124465942382812,0.2806992530822754,0.11726140975952148,0.10096859931945801,0.10750532150268555,0.19660186767578125
5,23000.0,0.021025657653808594,0.018123626708984375,0.015596628189086914,0.01569509506225586,0.01677846908569336,0.014543533325195312,0.2811849117279053,0.11897873878479004,0.22506189346313477,0.22347426414489746,0.35887932777404785
6,34000.0,0.026383638381958008,0.021273374557495117,0.018238067626953125,0.017670869827270508,0.018304109573364258,0.017810583114624023,0.294694185256958,0.137833833694458,0.4026343822479248,0.40804004669189453,0.6239936351776123
7,45000.0,0.03576159477233887,0.024802446365356445,0.018239974975585938,0.01784205436706543,0.018856287002563477,0.017528772354125977,0.30199718475341797,0.15224695205688477,0.6397709846496582,0.6418590545654297,0.9394392967224121
8,56000.0,0.0435023307800293,0.029553890228271484,0.021683454513549805,0.020355224609375,0.02129673957824707,0.01884317398071289,0.2957749366760254,0.17905020713806152,0.9373536109924316,0.9510066509246826,1.3729193210601807
9,67000.0,0.05524897575378418,0.03675341606140137,0.02335524559020996,0.02263331413269043,0.024411916732788086,0.022111177444458008,0.3071160316467285,0.20153093338012695,1.2983076572418213,1.2993240356445312,1.8472485542297363
10,78000.0,0.07000494003295898,0.04461836814880371,0.026079893112182617,0.0270540714263916,0.027348995208740234,0.025283098220825195,0.30856847763061523,0.24437379837036133,1.7127346992492676,1.7203967571258545,2.4313457012176514
11,89000.0,0.08704519271850586,0.05194997787475586,0.02961134910583496,0.03031635284423828,0.028818845748901367,0.02773427963256836,0.31737542152404785,0.27950096130371094,2.226283311843872,2.222776174545288,3.119135618209839
12,100000.0,0.10448813438415527,0.06434035301208496,0.03194785118103027,0.033628225326538086,0.034027814865112305,0.03264284133911133,0.3369159698486328,0.2897915840148926,2.795442819595337,2.7771105766296387,3.8794126510620117
13,100000.0,0.10474300384521484,0.06284523010253906,0.032621145248413086,0.03301739692687988,0.033326148986816406,0.030953168869018555,0.32207775115966797,0.3072938919067383,,,
14,200000.0,0.35585689544677734,0.18864154815673828,0.07830810546875,0.07769250869750977,0.0781552791595459,0.07583498954772949,0.39737844467163086,0.6730625629425049,,,
15,300000.0,0.7785263061523438,0.3970937728881836,0.15720653533935547,0.15271949768066406,0.15389561653137207,0.1499166488647461,0.5400207042694092,1.3318865299224854,,,
16,400000.0,1.4554855823516846,0.6773934364318848,0.2653980255126953,0.257157564163208,0.2580606937408447,0.2480001449584961,0.6947739124298096,2.14544677734375,,,
17,500000.0,2.112804412841797,1.0313827991485596,0.39163732528686523,0.38866710662841797,0.3881876468658447,0.37249040603637695,0.8435978889465332,3.1848013401031494,,,
